Candidate Name,Party Name,Office Name,Town Name,Vote Totals,Local District
Cummings and Romanoff,Write-In,Presidential Electors for,Ansonia,0,Ward 3 Holy Rosary Church
Deame and Long,Write-In,Presidential Electors for,Ansonia,0,Ward 3 Holy Rosary Church
De La Fuente and Steinberg,Write-In,Presidential Electors for,Ansonia,0,Ward 3 Holy Rosary Church
Evans and Fitch,Write-In,Presidential Electors for,Ansonia,0,Ward 3 Holy Rosary Church
Fox and Kushner,Write-In,Presidential Electors for,Ansonia,0,Ward 3 Holy Rosary Church
Hoefling and Schulin,Write-In,Presidential Electors for,Ansonia,0,Ward 3 Holy Rosary Church
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Ansonia,0,Ward 3 Holy Rosary Church
Kotlikoff and Leamer,Write-In,Presidential Electors for,Ansonia,0,Ward 3 Holy Rosary Church
La Riva and Puryear,Write-In,Presidential Electors for,Ansonia,0,Ward 3 Holy Rosary Church
Maldonado and Terranova,Write-In,Presidential Electors for,Ansonia,0,Ward 3 Holy Rosary Church
McMullin and Johnson,Write-In,Presidential Electors for,Ansonia,0,Ward 3 Holy Rosary Church
Schoenke and Mitchell Jr.,Write-In,Presidential Electors for,Ansonia,0,Ward 3 Holy Rosary Church
Skewes and Lacy,Write-In,Presidential Electors for,Ansonia,0,Ward 3 Holy Rosary Church
Smith and White,Write-In,Presidential Electors for,Ansonia,0,Ward 3 Holy Rosary Church
Wu and Wu,Write-In,Presidential Electors for,Ansonia,0,Ward 3 Holy Rosary Church
Clinton and Kaine,Democratic Party,Presidential Electors for,Ansonia,342,Ward 4 Ansonia Middle School
Trump and Pence,Republican Party,Presidential Electors for,Ansonia,233,Ward 4 Ansonia Middle School
Johnson and Weld,Libertarian Party,Presidential Electors for,Ansonia,13,Ward 4 Ansonia Middle School
Stein and Baraka,Green Party,Presidential Electors for,Ansonia,13,Ward 4 Ansonia Middle School
Basiago and Kinnison,Write-In,Presidential Electors for,Ansonia,0,Ward 4 Ansonia Middle School
Blumenthal and Blair,Write-In,Presidential Electors for,Ansonia,0,Ward 4 Ansonia Middle School
Buchanan and Washington,Write-In,Presidential Electors for,Ansonia,0,Ward 4 Ansonia Middle School
Castle and Bradley,Write-In,Presidential Electors for,Ansonia,0,Ward 4 Ansonia Middle School
Cooper and Meyer,Write-In,Presidential Electors for,Ansonia,0,Ward 4 Ansonia Middle School
Cummings and Romanoff,Write-In,Presidential Electors for,Ansonia,0,Ward 4 Ansonia Middle School
Deame and Long,Write-In,Presidential Electors for,Ansonia,0,Ward 4 Ansonia Middle School
De La Fuente and Steinberg,Write-In,Presidential Electors for,Ansonia,0,Ward 4 Ansonia Middle School
Evans and Fitch,Write-In,Presidential Electors for,Ansonia,0,Ward 4 Ansonia Middle School
Fox and Kushner,Write-In,Presidential Electors for,Ansonia,0,Ward 4 Ansonia Middle School
Hoefling and Schulin,Write-In,Presidential Electors for,Ansonia,0,Ward 4 Ansonia Middle School
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Ansonia,0,Ward 4 Ansonia Middle School
Kotlikoff and Leamer,Write-In,Presidential Electors for,Ansonia,0,Ward 4 Ansonia Middle School
La Riva and Puryear,Write-In,Presidential Electors for,Ansonia,0,Ward 4 Ansonia Middle School
Maldonado and Terranova,Write-In,Presidential Electors for,Ansonia,0,Ward 4 Ansonia Middle School
McMullin and Johnson,Write-In,Presidential Electors for,Ansonia,0,Ward 4 Ansonia Middle School
Schoenke and Mitchell Jr.,Write-In,Presidential Electors for,Ansonia,0,Ward 4 Ansonia Middle School
Skewes and Lacy,Write-In,Presidential Electors for,Ansonia,0,Ward 4 Ansonia Middle School
Smith and White,Write-In,Presidential Electors for,Ansonia,0,Ward 4 Ansonia Middle School
Wu and Wu,Write-In,Presidential Electors for,Ansonia,0,Ward 4 Ansonia Middle School
Clinton and Kaine,Democratic Party,Presidential Electors for,Ansonia,516,Ward 5 Ansonia Middle School
Trump and Pence,Republican Party,Presidential Electors for,Ansonia,477,Ward 5 Ansonia Middle School
Johnson and Weld,Libertarian Party,Presidential Electors for,Ansonia,29,Ward 5 Ansonia Middle School
Stein and Baraka,Green Party,Presidential Electors for,Ansonia,22,Ward 5 Ansonia Middle School
Basiago and Kinnison,Write-In,Presidential Electors for,Ansonia,0,Ward 5 Ansonia Middle School
Blumenthal and Blair,Write-In,Presidential Electors for,Ansonia,0,Ward 5 Ansonia Middle School
Buchanan and Washington,Write-In,Presidential Electors for,Ansonia,0,Ward 5 Ansonia Middle School
Castle and Bradley,Write-In,Presidential Electors for,Ansonia,0,Ward 5 Ansonia Middle School
Cooper and Meyer,Write-In,Presidential Electors for,Ansonia,0,Ward 5 Ansonia Middle School
Cummings and Romanoff,Write-In,Presidential Electors for,Ansonia,0,Ward 5 Ansonia Middle School
Deame and Long,Write-In,Presidential Electors for,Ansonia,0,Ward 5 Ansonia Middle School
De La Fuente and Steinberg,Write-In,Presidential Electors for,Ansonia,0,Ward 5 Ansonia Middle School
Evans and Fitch,Write-In,Presidential Electors for,Ansonia,0,Ward 5 Ansonia Middle School
Fox and Kushner,Write-In,Presidential Electors for,Ansonia,0,Ward 5 Ansonia Middle School
Hoefling and Schulin,Write-In,Presidential Electors for,Ansonia,0,Ward 5 Ansonia Middle School
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Ansonia,0,Ward 5 Ansonia Middle School
Kotlikoff and Leamer,Write-In,Presidential Electors for,Ansonia,0,Ward 5 Ansonia Middle School
La Riva and Puryear,Write-In,Presidential Electors for,Ansonia,0,Ward 5 Ansonia Middle School
Maldonado and Terranova,Write-In,Presidential Electors for,Ansonia,0,Ward 5 Ansonia Middle School
McMullin and Johnson,Write-In,Presidential Electors for,Ansonia,0,Ward 5 Ansonia Middle School
Schoenke and Mitchell Jr.,Write-In,Presidential Electors for,Ansonia,0,Ward 5 Ansonia Middle School
Skewes and Lacy,Write-In,Presidential Electors for,Ansonia,0,Ward 5 Ansonia Middle School
Smith and White,Write-In,Presidential Electors for,Ansonia,0,Ward 5 Ansonia Middle School
Wu and Wu,Write-In,Presidential Electors for,Ansonia,0,Ward 5 Ansonia Middle School
Clinton and Kaine,Democratic Party,Presidential Electors for,Ansonia,536,Ward 6 Prendergast School
Trump and Pence,Republican Party,Presidential Electors for,Ansonia,764,Ward 6 Prendergast School
Johnson and Weld,Libertarian Party,Presidential Electors for,Ansonia,35,Ward 6 Prendergast School
Stein and Baraka,Green Party,Presidential Electors for,Ansonia,19,Ward 6 Prendergast School
Basiago and Kinnison,Write-In,Presidential Electors for,Ansonia,0,Ward 6 Prendergast School
Blumenthal and Blair,Write-In,Presidential Electors for,Ansonia,0,Ward 6 Prendergast School
Buchanan and Washington,Write-In,Presidential Electors for,Ansonia,0,Ward 6 Prendergast School
Castle and Bradley,Write-In,Presidential Electors for,Ansonia,0,Ward 6 Prendergast School
Cooper and Meyer,Write-In,Presidential Electors for,Ansonia,1,Ward 6 Prendergast School
Cummings and Romanoff,Write-In,Presidential Electors for,Ansonia,0,Ward 6 Prendergast School
Deame and Long,Write-In,Presidential Electors for,Ansonia,0,Ward 6 Prendergast School
De La Fuente and Steinberg,Write-In,Presidential Electors for,Ansonia,0,Ward 6 Prendergast School
Evans and Fitch,Write-In,Presidential Electors for,Ansonia,0,Ward 6 Prendergast School
Fox and Kushner,Write-In,Presidential Electors for,Ansonia,0,Ward 6 Prendergast School
Hoefling and Schulin,Write-In,Presidential Electors for,Ansonia,0,Ward 6 Prendergast School
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Ansonia,0,Ward 6 Prendergast School
Kotlikoff and Leamer,Write-In,Presidential Electors for,Ansonia,0,Ward 6 Prendergast School
La Riva and Puryear,Write-In,Presidential Electors for,Ansonia,0,Ward 6 Prendergast School
Maldonado and Terranova,Write-In,Presidential Electors for,Ansonia,0,Ward 6 Prendergast School
McMullin and Johnson,Write-In,Presidential Electors for,Ansonia,1,Ward 6 Prendergast School
Schoenke and Mitchell Jr.,Write-In,Presidential Electors for,Ansonia,0,Ward 6 Prendergast School
Skewes and Lacy,Write-In,Presidential Electors for,Ansonia,0,Ward 6 Prendergast School
Smith and White,Write-In,Presidential Electors for,Ansonia,0,Ward 6 Prendergast School
Wu and Wu,Write-In,Presidential Electors for,Ansonia,0,Ward 6 Prendergast School
Clinton and Kaine,Democratic Party,Presidential Electors for,Ansonia,550,Ward 7 Mead School
Trump and Pence,Republican Party,Presidential Electors for,Ansonia,832,Ward 7 Mead School
Johnson and Weld,Libertarian Party,Presidential Electors for,Ansonia,35,Ward 7 Mead School
Stein and Baraka,Green Party,Presidential Electors for,Ansonia,10,Ward 7 Mead School
Basiago and Kinnison,Write-In,Presidential Electors for,Ansonia,0,Ward 7 Mead School
Blumenthal and Blair,Write-In,Presidential Electors for,Ansonia,0,Ward 7 Mead School
Buchanan and Washington,Write-In,Presidential Electors for,Ansonia,0,Ward 7 Mead School
Castle and Bradley,Write-In,Presidential Electors for,Ansonia,0,Ward 7 Mead School
Cooper and Meyer,Write-In,Presidential Electors for,Ansonia,0,Ward 7 Mead School
Cummings and Romanoff,Write-In,Presidential Electors for,Ansonia,0,Ward 7 Mead School
Deame and Long,Write-In,Presidential Electors for,Ansonia,0,Ward 7 Mead School
De La Fuente and Steinberg,Write-In,Presidential Electors for,Ansonia,0,Ward 7 Mead School
Evans and Fitch,Write-In,Presidential Electors for,Ansonia,0,Ward 7 Mead School
Fox and Kushner,Write-In,Presidential Electors for,Ansonia,0,Ward 7 Mead School
Hoefling and Schulin,Write-In,Presidential Electors for,Ansonia,0,Ward 7 Mead School
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Ansonia,0,Ward 7 Mead School
Kotlikoff and Leamer,Write-In,Presidential Electors for,Ansonia,0,Ward 7 Mead School
La Riva and Puryear,Write-In,Presidential Electors for,Ansonia,0,Ward 7 Mead School
Maldonado and Terranova,Write-In,Presidential Electors for,Ansonia,0,Ward 7 Mead School
McMullin and Johnson,Write-In,Presidential Electors for,Ansonia,0,Ward 7 Mead School
Schoenke and Mitchell Jr.,Write-In,Presidential Electors for,Ansonia,0,Ward 7 Mead School
Skewes and Lacy,Write-In,Presidential Electors for,Ansonia,0,Ward 7 Mead School
Smith and White,Write-In,Presidential Electors for,Ansonia,0,Ward 7 Mead School
Wu and Wu,Write-In,Presidential Electors for,Ansonia,0,Ward 7 Mead School
Clinton and Kaine,Democratic Party,Presidential Electors for,Ashford,1112,Knowlton Memorial Hall
Trump and Pence,Republican Party,Presidential Electors for,Ashford,1042,Knowlton Memorial Hall
Johnson and Weld,Libertarian Party,Presidential Electors for,Ashford,108,Knowlton Memorial Hall
Stein and Baraka,Green Party,Presidential Electors for,Ashford,63,Knowlton Memorial Hall
Basiago and Kinnison,Write-In,Presidential Electors for,Ashford,0,Knowlton Memorial Hall
Blumenthal and Blair,Write-In,Presidential Electors for,Ashford,0,Knowlton Memorial Hall
Buchanan and Washington,Write-In,Presidential Electors for,Ashford,0,Knowlton Memorial Hall
Castle and Bradley,Write-In,Presidential Electors for,Ashford,0,Knowlton Memorial Hall
Cooper and Meyer,Write-In,Presidential Electors for,Ashford,0,Knowlton Memorial Hall
Cummings and Romanoff,Write-In,Presidential Electors for,Ashford,0,Knowlton Memorial Hall
Deame and Long,Write-In,Presidential Electors for,Ashford,0,Knowlton Memorial Hall
De La Fuente and Steinberg,Write-In,Presidential Electors for,Ashford,0,Knowlton Memorial Hall
Evans and Fitch,Write-In,Presidential Electors for,Ashford,0,Knowlton Memorial Hall
Fox and Kushner,Write-In,Presidential Electors for,Ashford,0,Knowlton Memorial Hall
Hoefling and Schulin,Write-In,Presidential Electors for,Ashford,0,Knowlton Memorial Hall
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Ashford,0,Knowlton Memorial Hall
Kotlikoff and Leamer,Write-In,Presidential Electors for,Ashford,0,Knowlton Memorial Hall
La Riva and Puryear,Write-In,Presidential Electors for,Ashford,0,Knowlton Memorial Hall
Maldonado and Terranova,Write-In,Presidential Electors for,Ashford,0,Knowlton Memorial Hall
McMullin and Johnson,Write-In,Presidential Electors for,Ashford,7,Knowlton Memorial Hall
Schoenke and Mitchell Jr.,Write-In,Presidential Electors for,Ashford,0,Knowlton Memorial Hall
Skewes and Lacy,Write-In,Presidential Electors for,Ashford,0,Knowlton Memorial Hall
Smith and White,Write-In,Presidential Electors for,Ashford,0,Knowlton Memorial Hall
Wu and Wu,Write-In,Presidential Electors for,Ashford,0,Knowlton Memorial Hall
Clinton and Kaine,Democratic Party,Presidential Electors for,Avon,2242,Avon High School - Gymnasium
Trump and Pence,Republican Party,Presidential Electors for,Avon,1850,Avon High School - Gymnasium
Johnson and Weld,Libertarian Party,Presidential Electors for,Avon,156,Avon High School - Gymnasium
Stein and Baraka,Green Party,Presidential Electors for,Avon,59,Avon High School - Gymnasium
Basiago and Kinnison,Write-In,Presidential Electors for,Avon,0,Avon High School - Gymnasium
Blumenthal and Blair,Write-In,Presidential Electors for,Avon,0,Avon High School - Gymnasium
Buchanan and Washington,Write-In,Presidential Electors for,Avon,0,Avon High School - Gymnasium
Castle and Bradley,Write-In,Presidential Electors for,Avon,1,Avon High School - Gymnasium
Cooper and Meyer,Write-In,Presidential Electors for,Avon,0,Avon High School - Gymnasium
Cummings and Romanoff,Write-In,Presidential Electors for,Avon,0,Avon High School - Gymnasium
Deame and Long,Write-In,Presidential Electors for,Avon,0,Avon High School - Gymnasium
De La Fuente and Steinberg,Write-In,Presidential Electors for,Avon,0,Avon High School - Gymnasium
Evans and Fitch,Write-In,Presidential Electors for,Avon,0,Avon High School - Gymnasium
Fox and Kushner,Write-In,Presidential Electors for,Avon,0,Avon High School - Gymnasium
Hoefling and Schulin,Write-In,Presidential Electors for,Avon,0,Avon High School - Gymnasium
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Avon,0,Avon High School - Gymnasium
Kotlikoff and Leamer,Write-In,Presidential Electors for,Avon,0,Avon High School - Gymnasium
La Riva and Puryear,Write-In,Presidential Electors for,Avon,0,Avon High School - Gymnasium
Maldonado and Terranova,Write-In,Presidential Electors for,Avon,0,Avon High School - Gymnasium
McMullin and Johnson,Write-In,Presidential Electors for,Avon,9,Avon High School - Gymnasium
Schoenke and Mitchell Jr.,Write-In,Presidential Electors for,Avon,0,Avon High School - Gymnasium
Skewes and Lacy,Write-In,Presidential Electors for,Avon,0,Avon High School - Gymnasium
Smith and White,Write-In,Presidential Electors for,Avon,0,Avon High School - Gymnasium
Wu and Wu,Write-In,Presidential Electors for,Avon,0,Avon High School - Gymnasium
Clinton and Kaine,Democratic Party,Presidential Electors for,Avon,1660,Firehouse Company #1
Trump and Pence,Republican Party,Presidential Electors for,Avon,1127,Firehouse Company #1
Johnson and Weld,Libertarian Party,Presidential Electors for,Avon,76,Firehouse Company #1
Stein and Baraka,Green Party,Presidential Electors for,Avon,49,Firehouse Company #1
Basiago and Kinnison,Write-In,Presidential Electors for,Avon,0,Firehouse Company #1
Blumenthal and Blair,Write-In,Presidential Electors for,Avon,0,Firehouse Company #1
Buchanan and Washington,Write-In,Presidential Electors for,Avon,0,Firehouse Company #1
Castle and Bradley,Write-In,Presidential Electors for,Avon,0,Firehouse Company #1
Cooper and Meyer,Write-In,Presidential Electors for,Avon,0,Firehouse Company #1
Cummings and Romanoff,Write-In,Presidential Electors for,Avon,0,Firehouse Company #1
Deame and Long,Write-In,Presidential Electors for,Avon,0,Firehouse Company #1
De La Fuente and Steinberg,Write-In,Presidential Electors for,Avon,0,Firehouse Company #1
Evans and Fitch,Write-In,Presidential Electors for,Avon,0,Firehouse Company #1
Fox and Kushner,Write-In,Presidential Electors for,Avon,0,Firehouse Company #1
Hoefling and Schulin,Write-In,Presidential Electors for,Avon,0,Firehouse Company #1
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Avon,0,Firehouse Company #1
Kotlikoff and Leamer,Write-In,Presidential Electors for,Avon,0,Firehouse Company #1
La Riva and Puryear,Write-In,Presidential Electors for,Avon,0,Firehouse Company #1
Maldonado and Terranova,Write-In,Presidential Electors for,Avon,0,Firehouse Company #1
McMullin and Johnson,Write-In,Presidential Electors for,Avon,10,Firehouse Company #1
Schoenke and Mitchell Jr.,Write-In,Presidential Electors for,Avon,0,Firehouse Company #1
Skewes and Lacy,Write-In,Presidential Electors for,Avon,0,Firehouse Company #1
Smith and White,Write-In,Presidential Electors for,Avon,0,Firehouse Company #1
Wu and Wu,Write-In,Presidential Electors for,Avon,0,Firehouse Company #1
Clinton and Kaine,Democratic Party,Presidential Electors for,Avon,1773,Roaring Brook School
Trump and Pence,Republican Party,Presidential Electors for,Avon,1413,Roaring Brook School
Johnson and Weld,Libertarian Party,Presidential Electors for,Avon,129,Roaring Brook School
Stein and Baraka,Green Party,Presidential Electors for,Avon,33,Roaring Brook School
Basiago and Kinnison,Write-In,Presidential Electors for,Avon,0,Roaring Brook School
Blumenthal and Blair,Write-In,Presidential Electors for,Avon,0,Roaring Brook School
Buchanan and Washington,Write-In,Presidential Electors for,Avon,0,Roaring Brook School
Castle and Bradley,Write-In,Presidential Electors for,Avon,1,Roaring Brook School
Cooper and Meyer,Write-In,Presidential Electors for,Avon,0,Roaring Brook School
Cummings and Romanoff,Write-In,Presidential Electors for,Avon,0,Roaring Brook School
Deame and Long,Write-In,Presidential Electors for,Avon,0,Roaring Brook School
De La Fuente and Steinberg,Write-In,Presidential Electors for,Avon,0,Roaring Brook School
Evans and Fitch,Write-In,Presidential Electors for,Avon,0,Roaring Brook School
Fox and Kushner,Write-In,Presidential Electors for,Avon,0,Roaring Brook School
Hoefling and Schulin,Write-In,Presidential Electors for,Avon,0,Roaring Brook School
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Avon,0,Roaring Brook School
Kotlikoff and Leamer,Write-In,Presidential Electors for,Avon,0,Roaring Brook School
La Riva and Puryear,Write-In,Presidential Electors for,Avon,0,Roaring Brook School
Maldonado and Terranova,Write-In,Presidential Electors for,Avon,0,Roaring Brook School
McMullin and Johnson,Write-In,Presidential Electors for,Avon,14,Roaring Brook School
Schoenke and Mitchell Jr.,Write-In,Presidential Electors for,Avon,0,Roaring Brook School
Skewes and Lacy,Write-In,Presidential Electors for,Avon,0,Roaring Brook School
Smith and White,Write-In,Presidential Electors for,Avon,0,Roaring Brook School
Wu and Wu,Write-In,Presidential Electors for,Avon,0,Roaring Brook School
Clinton and Kaine,Democratic Party,Presidential Electors for,Barkhamsted,905,Barkhamsted Elementary School
Trump and Pence,Republican Party,Presidential Electors for,Barkhamsted,1157,Barkhamsted Elementary School
Johnson and Weld,Libertarian Party,Presidential Electors for,Barkhamsted,94,Barkhamsted Elementary School
Stein and Baraka,Green Party,Presidential Electors for,Barkhamsted,37,Barkhamsted Elementary School
Basiago and Kinnison,Write-In,Presidential Electors for,Barkhamsted,0,Barkhamsted Elementary School
Blumenthal and Blair,Write-In,Presidential Electors for,Barkhamsted,0,Barkhamsted Elementary School
Buchanan and Washington,Write-In,Presidential Electors for,Barkhamsted,0,Barkhamsted Elementary School
Castle and Bradley,Write-In,Presidential Electors for,Barkhamsted,2,Barkhamsted Elementary School
Cooper and Meyer,Write-In,Presidential Electors for,Barkhamsted,0,Barkhamsted Elementary School
Cummings and Romanoff,Write-In,Presidential Electors for,Barkhamsted,0,Barkhamsted Elementary School
Deame and Long,Write-In,Presidential Electors for,Barkhamsted,0,Barkhamsted Elementary School
De La Fuente and Steinberg,Write-In,Presidential Electors for,Barkhamsted,0,Barkhamsted Elementary School
Evans and Fitch,Write-In,Presidential Electors for,Barkhamsted,0,Barkhamsted Elementary School
Fox and Kushner,Write-In,Presidential Electors for,Barkhamsted,0,Barkhamsted Elementary School
Hoefling and Schulin,Write-In,Presidential Electors for,Barkhamsted,0,Barkhamsted Elementary School
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Barkhamsted,0,Barkhamsted Elementary School
Kotlikoff and Leamer,Write-In,Presidential Electors for,Barkhamsted,0,Barkhamsted Elementary School
La Riva and Puryear,Write-In,Presidential Electors for,Barkhamsted,0,Barkhamsted Elementary School
Maldonado and Terranova,Write-In,Presidential Electors for,Barkhamsted,0,Barkhamsted Elementary School
McMullin and Johnson,Write-In,Presidential Electors for,Barkhamsted,5,Barkhamsted Elementary School
Schoenke and Mitchell Jr.,Write-In,Presidential Electors for,Barkhamsted,0,Barkhamsted Elementary School
